"","x"
"1",7.91
"2",1.81
"3",19
"4",26.96
"5",17.35
"6",31.82
"7",11.95
"8",17.67
"9",4.5
"10",17.01
"11",23.37
"12",7.57
"13",22.66
"14",16.68
"15",11.98
"16",20.83
"17",12.01
"18",6.97
"19",9
"20",20.84
"21",6.97
"22",13.25
"23",17.69
"24",7.04
"25",12.43
"26",7.26
"27",23.53
"28",28.35
"29",21.35
"30",13.98
"31",24.54
"32",22.88
"33",15
"34",10.48
"35",7.6
"36",14.64
"37",13.91
"38",21.84
"39",13.45
"40",14.66
"41",17.74
"42",2.7
"43",29.52
"44",14.07
"45",18.01
"46",20.09
"47",9.88
"48",9.72
"49",14.88
"50",5.16
"51",7.79
"52",18.25
"53",15.94
"54",12.11
"55",13.71
"56",4.44
"57",7.15
"58",18.62
"59",11.36
"60",13.97
"61",8.94
"62",23.12
"63",5.59
"64",3.59
"65",23.11
"66",3.09
"67",4.77
"68",13.49
"69",5.52
"70",19.57
"71",1.56
"72",17.5
"73",12.05
"74",14.46
"75",7.78
"76",9.67
"77",10.97
"78",4.48
"79",10.46
"80",3.49
"81",6.45
"82",25.94
"83",9.09
"84",5.01
"85",6.53
"86",8.57
"87",8.43
"88",7.49
"89",10.2
"90",7.16
"91",11.73
"92",6.42
"93",0.63
"94",8.57
"95",17.98
"96",13.03
"97",15.07
"98",11.77
"99",8.75
"100",9.07
"101",6.62
"102",3.25
"103",18.2
"104",0.13
"105",5.45
"106",5.9
"107",15.37
"108",11.9
"109",9.89
"110",7.58
"111",13.82
"112",21.4
"113",5.58
"114",7.68
"115",24.3
"116",24.81
"117",19.36
"118",6.93
"119",10.01
"120",15.52
"121",14.48
"122",18.19
"123",4
"124",13.09
"125",4.83
"126",13.81
"127",2.54
"128",3.84
"129",18.19
"130",3.75
"131",12.22
"132",20.05
"133",16.86
"134",13.03
"135",10.43
"136",11.72
"137",14.53
"138",13.95
"139",14.71
"140",23.44
"141",6.18
"142",9.52
"143",10.25
"144",15.21
